message,timestamp,severity,tags,attributes
unpacking archive,2026-09-08T13:14:13.741640101Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":46479360,""duration_ms"":186}"
using build driver railpack-v0.39.0,2026-09-08T13:14:13.821976076Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info""}"
[railway] prepare railpack-v0.39.0,2026-09-08T13:14:13.989342412Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:245e38a11e7f26b09e161bf295150487a5d48b07bb1b5131d8f598f748a27ac8"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:4efccb5693a9d4be522e48f4a3b6a66418b7ade8bdc1e089ac637e58f36aa512"",""sha256:0976672267f6594871181241a4e4fbfd72d6c5234cc52c4b8a1e533ab6bd81da""]}"
local://prepare-driver,2026-09-08T13:14:13.989345226Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:0976672267f6594871181241a4e4fbfd72d6c5234cc52c4b8a1e533ab6bd81da""}"
local://prepare-context,2026-09-08T13:14:13.989347339Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:4efccb5693a9d4be522e48f4a3b6a66418b7ade8bdc1e089ac637e58f36aa512""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-08T13:14:13.989348270Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652""}"
local://prepare-driver,2026-09-08T13:14:13.989365026Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:0976672267f6594871181241a4e4fbfd72d6c5234cc52c4b8a1e533ab6bd81da"",""started"":""2026-09-08T13:14:13.988872376Z"",""completed"":""2026-09-08T13:14:13.988941801Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-08T13:14:13.989381891Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-08T13:14:13.989040919Z""}"
local://prepare-context,2026-09-08T13:14:13.989611075Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:4efccb5693a9d4be522e48f4a3b6a66418b7ade8bdc1e089ac637e58f36aa512"",""started"":""2026-09-08T13:14:13.989164505Z"",""completed"":""2026-09-08T13:14:13.989291876Z""}"
local://prepare-driver,2026-09-08T13:14:13.989616032Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""0053befa-5661-4372-afe8-549f9bae586b"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:0976672267f6594871181241a4e4fbfd72d6c5234cc52c4b8a1e533ab6bd81da"",""started"":""2026-09-08T13:14:13.989420048Z""}"
