message,severity,attributes,tags,timestamp
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/2080345b-e109-4660-967b-0d74bd9aa6ed/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:45:32.383527737Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/2080345b-e109-4660-967b-0d74bd9aa6ed/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:46:04.940044486Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/2080345b-e109-4660-967b-0d74bd9aa6ed/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:46:37.148480406Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/2080345b-e109-4660-967b-0d74bd9aa6ed/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:47:11.989989300Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/2080345b-e109-4660-967b-0d74bd9aa6ed/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:47:50.231825022Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/2080345b-e109-4660-967b-0d74bd9aa6ed/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:48:38.714757852Z
Starting Container,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:14.171559928Z
"Error: Could not load the ""sharp"" module using the linux-x64 runtime",error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.394965528Z
file:///app/node_modules/.pnpm/sharp@0.35.4_@types+node@25.9.5/node_modules/sharp/dist/sharp.mjs:171,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.394971336Z
Possible solutions:,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.394974807Z
    at async handleMainPromise (node:internal/modules/run_main:106:12),error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.394982120Z
- Please upgrade Node.js:,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.394982557Z
"  throw new Error(help.join(""\n""));",error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.394984701Z
        ^,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.394997638Z
,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.394999181Z
    at file:///app/node_modules/.pnpm/sharp@0.35.4_@types+node@25.9.5/node_modules/sharp/dist/sharp.mjs:171:9,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.395006459Z
,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.395007891Z
Node.js v18.20.5,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.395011394Z
    at ModuleJob.run (node:internal/modules/esm/module_job:195:25),error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""0fc0daf2-de9b-4d04-9b63-bb7189ec9382"",""replica"":""2080345b-e109-4660-967b-0d74bd9aa6ed""}",2026-09-15T06:49:15.395014588Z
