message,severity,attributes,tags,timestamp
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/636bb216-7acc-4087-b852-bcbc3f2494a1/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:48:29.622634657Z
Starting Container,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:48:59.071386225Z
npm warn config production Use `--omit=dev` instead.,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:48:59.270180346Z
,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:48:59.270188262Z
> workspace@0.0.0 start,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:48:59.270195886Z
> SERVE_WEB=true node --enable-source-maps artifacts/api-server/dist/index.mjs,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:48:59.270204604Z
,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:48:59.270212880Z
✅ Master key chargée depuis environnement (fallback local),info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:49:01.143894756Z
Server listening,info,"{""level"":""info"",""time"":1789267740749,""pid"":15,""hostname"":""04ec08421c59"",""port"":8080}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:49:01.143901482Z
"[TRACKING] Moniteur indisponible, nouvelle tentative au prochain intervalle: Failed query: select ""id"", ""user_id"", ""started_at"", ""ended_at"", ""is_active"", ""is_panic_mode"", ""share_token"", ""protection_status"", ""destination_label"", ""destination_place_id"", ""destination_latitude"", ""destination_longitude"", ""shared_contact_ids"", ""arrival_confirmed_at"" from ""tracking_sessions"" where ""tracking_sessions"".""is_active"" = $1",error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:49:01.143907710Z
params: true,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""fed1a80a-9c62-4853-81f3-ecfd9e5fef2b"",""replica"":""636bb216-7acc-4087-b852-bcbc3f2494a1""}",2026-09-13T02:49:01.143914504Z
