message,timestamp,severity,tags,attributes
unpacking archive,2026-09-08T16:39:38.368054374Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":46479360,""duration_ms"":198}"
using build driver railpack-v0.39.0,2026-09-08T16:39:38.456844504Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info""}"
[railway] prepare railpack-v0.39.0,2026-09-08T16:39:38.706424192Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:e0fe77c419a140859c07db912ceb62d2150dc846e29ac6ad77672978d4b98805"",""inputs"":[""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""sha256:1e4b15cc09dccdbc305ac174403db16d734a98f58c62351aae353264c44eac8f"",""sha256:e2cff11f5e3442f5d8c80ceaa9b998d75d4c002574268c6615068b86a87d8fa1""]}"
local://prepare-driver,2026-09-08T16:39:38.706426465Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:e2cff11f5e3442f5d8c80ceaa9b998d75d4c002574268c6615068b86a87d8fa1""}"
local://prepare-context,2026-09-08T16:39:38.706427948Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:1e4b15cc09dccdbc305ac174403db16d734a98f58c62351aae353264c44eac8f""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-08T16:39:38.706428849Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652""}"
local://prepare-driver,2026-09-08T16:39:38.706523030Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:e2cff11f5e3442f5d8c80ceaa9b998d75d4c002574268c6615068b86a87d8fa1"",""started"":""2026-09-08T16:39:38.706121508Z"",""completed"":""2026-09-08T16:39:38.706193516Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-08T16:39:38.706545043Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-08T16:39:38.706255859Z""}"
local://prepare-context,2026-09-08T16:39:38.706676801Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:1e4b15cc09dccdbc305ac174403db16d734a98f58c62351aae353264c44eac8f"",""started"":""2026-09-08T16:39:38.706370431Z"",""completed"":""2026-09-08T16:39:38.706477231Z""}"
local://prepare-context,2026-09-08T16:39:38.706852134Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:1e4b15cc09dccdbc305ac174403db16d734a98f58c62351aae353264c44eac8f"",""started"":""2026-09-08T16:39:38.706700637Z""}"
local://prepare-driver,2026-09-08T16:39:38.706944362Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:e2cff11f5e3442f5d8c80ceaa9b998d75d4c002574268c6615068b86a87d8fa1"",""started"":""2026-09-08T16:39:38.706825724Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-08T16:39:38.963936051Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-08T16:39:38.706255859Z"",""completed"":""2026-09-08T16:39:38.963767719Z""}"
docker-image://ghcr.io/railwayapp/railpack-builder:latest,2026-09-08T16:39:38.964294729Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""ca632f6c-8a96-43ec-a279-ecd2dcb55eb2"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""buildkit"",""type"":""vertex"",""digest"":""sha256:56f3f57001b11667178741501c7fe0bc973e9e10e1e21857cf6a5f495dfa1652"",""started"":""2026-09-08T16:39:38.964095951Z"",""completed"":""2026-09-08T16:39:38.964141189Z"",""cached"":true}"
