message,severity,attributes,tags,timestamp
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/9545fd09-b29f-44f3-9d3e-c8136628835a/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:30:31.519124689Z
Starting Container,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:30:32.957332613Z
bash: scripts/pre-start.sh: No such file or directory,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:30:33.295387014Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/9545fd09-b29f-44f3-9d3e-c8136628835a/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:31:03.665537342Z
bash: scripts/pre-start.sh: No such file or directory,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:31:13.719247031Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/9545fd09-b29f-44f3-9d3e-c8136628835a/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:31:21.033178157Z
bash: scripts/pre-start.sh: No such file or directory,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:31:21.824196776Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/9545fd09-b29f-44f3-9d3e-c8136628835a/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:31:27.958308642Z
bash: scripts/pre-start.sh: No such file or directory,error,"{""level"":""error""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:31:28.936364527Z
Mounting volume on: /var/lib/containers/railwayapp/bind-mounts/9545fd09-b29f-44f3-9d3e-c8136628835a/vol_du7q425lje6gb5e5,info,"{""level"":""info""}","{""project"":""5dc0ff6b-b1fe-4f32-9562-66e7ab3df195"",""environment"":""d27ab513-c2f6-4c76-8d15-a1a4cc56e273"",""service"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deployment"":""66be2301-435c-4422-897f-a0df0106767a"",""replica"":""9545fd09-b29f-44f3-9d3e-c8136628835a""}",2026-09-13T03:32:00.253980184Z
