message,timestamp,severity,tags,attributes
unpacking archive,2026-09-02T17:08:29.670501808Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info"",""source"":""railway.progress"",""status"":""complete"",""size"":45363200,""duration_ms"":206}"
using build driver nixpacks-v1.41.0,2026-09-02T17:08:29.770761316Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
,2026-09-02T17:08:29.955180808Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
╔═════════════════════ Nixpacks v1.41.0 ═════════════════════╗,2026-09-02T17:08:29.955192686Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ setup      │ pkgs: nodejs_22                               ║,2026-09-02T17:08:29.955195771Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║            │ cmds: npm install --global npm@10.8.2         ║,2026-09-02T17:08:29.955196962Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║────────────────────────────────────────────────────────────║,2026-09-02T17:08:29.955200027Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ caddy      │ pkgs: caddy                                   ║,2026-09-02T17:08:29.955200999Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║            │ cmds: caddy fmt --overwrite /assets/Caddyfile ║,2026-09-02T17:08:29.955201789Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║────────────────────────────────────────────────────────────║,2026-09-02T17:08:29.955203752Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ install    │ npm ci --include=dev                          ║,2026-09-02T17:08:29.955204744Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║────────────────────────────────────────────────────────────║,2026-09-02T17:08:29.955206086Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ build      │ npm run build                                 ║,2026-09-02T17:08:29.955206947Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║────────────────────────────────────────────────────────────║,2026-09-02T17:08:29.955208209Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
║ start      │ npm run start                                 ║,2026-09-02T17:08:29.955209321Z,info,"{""serviceId"":""e4b15780-624b-4745-a0ff-941d15af64ef"",""deploymentId"":""89d7121e-2acf-4f9e-9cfa-cd181c535132"",""deploymentInstanceId"":null}","{""level"":""info""}"
